"code","dtime","title","author"
"600999","2020-01-10 14:01:00",一定要让600030先涨吗?人家已涨过一个板了哦! 你还没有!,别浪费一场危机会
"600999","2020-01-10 14:07:00",证券股又完球了,人民经济学院
"600999","2020-01-10 14:07:00",还得跟主旋律走。,宇宙_巨胖小猴子
"600999","2020-01-10 14:26:00",牛逼,股友c1325S
"600999","2020-01-10 14:34:00",求领涨证券板块,股友XOpwBq
"600999","2020-01-11 09:25:00",下周五个涨停！,捉老鸡
"600999","2020-01-11 13:34:00",火！券商ETF1.10最新规模再创历史新高66.2亿元，最近8日资金净流入11.8亿元,华宝基金
"600999","2020-01-13 09:59:00",买,长风z
"600999","2020-01-13 10:17:00",券商打压控制大盘涨的速度!跌就买买买!,别浪费一场危机会
"600999","2020-01-13 10:45:00",脱单要跌了,基民MDJ4E4
"600999","2020-01-13 11:05:00",翻红吧！别坏了完美的K线形态，这是5年熊市走到今天来之不易的成果。,龙头板块领涨龙头
"600999","2020-01-13 11:27:00",要大涨，还是要券商发力,杨岁月
"600999","2020-01-13 11:34:00",券商12月份业绩发布，成绩喜人，年终奖拿到手软？,第一金融观察
"600999","2020-01-13 13:25:00",招行都撑不住，大盘真不行。,股友2Ev3Ud
"600999","2020-01-13 13:26:00",割韭菜,果敢裳伊
"600999","2020-01-13 13:29:00",机构大户最喜欢玩散户,果敢裳伊
"600999","2020-01-13 13:37:00",OK噶看卖盘穷进了傻,道观清
"600999","2020-01-13 13:57:00",百年招商，百年机会,盛世健保
"600999","2020-01-13 14:03:00",今天招商怎么这么差,杨岁月
"600999","2020-01-13 14:45:00",明日行情应该不错,GamblerSam
"600999","2020-01-13 14:49:00",今天真不容易，强势的技术形态总算保住了，明天若一根长阳拔地而起招商证券和老大哥中,龙头板块领涨龙头
"600999","2020-01-13 14:53:00",尾盘突袭资金不足吗？,旺旺2020旺旺
"600999","2020-01-13 15:43:00",价值低估，新高在即！,AAA大道至简AAA
"600999","2020-01-14 09:53:00",不看好的换买000783或601377我也有!,别浪费一场危机会
"600999","2020-01-14 09:59:00",放量突破,龙头板块领涨龙头
"600999","2020-01-14 10:12:00","年前估计能过20,拿稳了兄弟们",余生有你666
"600999","2020-01-14 10:17:00",昨天尾盘那一拉为毛线？为的是今天盘整吗？,梅兰竹菊300
"600999","2020-01-14 10:42:00",首席分析师在哪里？告诉我后面怎么走……[毛估估],割肉小王子1988
"600999","2020-01-14 10:56:00",节节撤退,股海猎手之战狼
"600999","2020-01-14 11:16:00",高点依次下降啊,基民MDJ4E4
"600999","2020-01-14 12:03:00",强势上涨中,遇见你以后
"600999","2020-01-14 13:17:00",招商大佬，不要看中信证券的脸色，我们自力更生丰衣足食，我们招商证券带头拉升。,龙头板块领涨龙头
"600999","2020-01-14 13:26:00",好票啊,买啥啥爆仓
"600999","2020-01-14 14:33:00",尾盘必拉升,余生有你666
"600999","2020-01-15 09:08:00",招商证券APP不能查看两融账户盈亏分析怎么说?,爱悠闲爱杭州
"600999","2020-01-15 09:25:00",哈哈，今天的龙头是招商证券,股友lzxwHy
"600999","2020-01-15 09:34:00",稳步上行，趋势牛,就这样不改了
"600999","2020-01-15 09:43:00",拿好了，年前必到20,余生有你666
"600999","2020-01-15 09:59:00",全仓了。哈哈,狩猎者mmtc
"600999","2020-01-15 10:09:00",变盘中！向下,遇见你以后
"600999","2020-01-15 10:13:00",南京来了，追上你当老大了。快去砸,基民jiVjVZ
"600999","2020-01-15 10:14:00",好多坏人都在骗你上去千万别上去，你是个助攻永远当不了龙头,胆大包天0723
"600999","2020-01-15 10:21:00",券商新龙头,股友agiiMZ
"600999","2020-01-15 10:27:00",搅局的野蛮人资本大亨粤民投冲响券商举牌集结号广发证券离奇闪封全疯头部券商牛市推手,广发工商银券
"600999","2020-01-15 10:28:00",什么情况？广发市值比招商低130亿！广发利润比招商多40亿,广发工商银券
"600999","2020-01-15 10:29:00",广发比招商强！快切换！,广发工商银券
"600999","2020-01-15 10:34:00",溜了溜了，强弩之末,李瀚舟
"600999","2020-01-15 10:34:00",焕手0.32[大笑][大笑][大笑][大笑]能涨到那里去？,喝茶请来
"600999","2020-01-15 10:36:00",券商新龙头,n130213199787868
"600999","2020-01-15 10:40:00",加速突破，希冀涨停,似风518888
"600999","2020-01-15 10:52:00",关键先生,来满上我吃一半
"600999","2020-01-15 11:03:00",成王败寇，你是王者[赞],盛世健保
"600999","2020-01-15 11:13:00",赶超大摩,盛世健保
"600999","2020-01-15 11:22:00",第一目标超越华泰证券，第二目标超越中信证券，第三目标超越中信建投。[牛][牛][,虹色战机
"600999","2020-01-15 11:52:00",明天高走是出货良机！然后变盘向下,遇见你以后
"600999","2020-01-15 12:12:00",大盘回调了，年前就做证券了,余生有你666
"600999","2020-01-15 12:50:00",唉，买错券商了，这明显的龙头，,Dog庄_游资
"600999","2020-01-15 13:28:00",下软蛋的怂货,股友GCBRAb
"600999","2020-01-15 13:28:00",跳水了,junjun109364
"600999","2020-01-15 14:03:00",压盘了，上不去了,买啥啥爆仓
"600999","2020-01-15 14:14:00",独领风骚数百年,盛世健保
"600999","2020-01-15 14:48:00",冲动了，今天入坑,股友BkKwuK
"600999","2020-01-15 14:48:00",完了,junjun109364
"600999","2020-01-15 14:49:00",这个成中军了。。。,零点杀手
"600999","2020-01-15 15:41:00",看空,未曾相识0311
"600999","2020-01-16 09:37:00",又开始下软蛋白给了你一身好皮囊,股友GCBRAb
"600999","2020-01-16 09:38:00",今天能卖了个最高点27.牛吧,道观清
"600999","2020-01-16 09:55:00",券商板块业绩第一,龙头板块领涨龙头
"600999","2020-01-16 10:00:00",今天太怂,反求诸己
"600999","2020-01-16 10:00:00",券商板块业绩第一名：600999招商证券,龙头板块领涨龙头
"600999","2020-01-16 10:09:00",看业绩进的这次可被坑惨了,野牛赢
"600999","2020-01-16 10:16:00",狗ri的就看哥买了就跌,股友BkKwuK
"600999","2020-01-16 10:26:00","600999——招商证券发布2019年度业绩预增公告。公告显示，预计2019年度",龙头板块领涨龙头
"600999","2020-01-16 10:28:00",要当领头羊你也是母的没特么一点雄性,股友GCBRAb
"600999","2020-01-16 10:53:00",垃圾招商高位不减持强平股票，低位强平业绩稀烂,坚瑞联合三星资本背靠国资
"600999","2020-01-16 10:53:00",火爆！券商ETF1.15最新融资余额高达6.06亿元，连续3日超6亿元！,华宝基金
"600999","2020-01-16 11:47:00",业绩大增70%的超跌股600999不涨哪些能涨?,别浪费一场危机会
"600999","2020-01-16 13:12:00",公布业绩就可以放心砸了,NeverChange
"600999","2020-01-16 14:01:00",下来了，买,长风z
"600999","2020-01-16 14:16:00",招商证券20在望,合肥王二毛毛
"600999","2020-01-16 15:58:00",哪里都是套,股友BkKwuK
"600999","2020-01-17 09:34:00",今天20以上收盘，再不涨你就是孙子,股友GCBRAb
"600999","2020-01-17 09:38:00",就是不想做老大,反求诸己
"600999","2020-01-17 10:07:00",招商证劵首席分析师出来走两步，告诉我后面怎么走[困顿],割肉小王子1988
"600999","2020-01-17 11:11:00",坑爹了，我好怕……[好困惑],割肉小王子1988
"600999","2020-01-17 11:48:00",上市券商业绩前瞻：市场回暖、承销增长，板块业绩或创四年新高,面包财经
"600999","2020-01-17 11:54:00",底有量先慢会大涨!,别浪费一场危机会
"600999","2020-01-17 13:30:00",被套了，我丢,割肉小王子1988
"600999","2020-01-17 13:50:00",你是真特么孙子股,股友GCBRAb
"600999","2020-01-17 14:07:00",狗艹的换了个垃圾券商，买哪里都是套,股友BkKwuK
"600999","2020-01-20 09:43:00",你有足够能力当龙头，请不要猥琐！！！！,散户的价值投资观
"600999","2020-01-20 10:28:00",龙头潜力,红牛大国牛
"600999","2020-01-20 10:59:00",筹码收集的差不多了，别装了,红牛大国牛
"600999","2020-01-20 11:03:00",感觉还是券商活跃[滴汗][滴汗][滴汗],冰原猎人
"600999","2020-01-20 11:06:00",今天涨停，前年上22,放弃是选择
"600999","2020-01-20 11:06:00",多头咬死空头，咬住空头脖子往死里咬,股友GCBRAb
"600999","2020-01-20 11:27:00",今天终于解套了，,雪雪雪雪丶
"600999","2020-01-20 12:55:00",看空,未曾相识0311
"600999","2020-01-20 13:46:00",看601108买600999底有量必飞翔!,巴菲特恐慌我更贪
"600999","2020-01-20 14:06:00",证券股谁买谁亏，不信就看,人民经济学院
"600999","2020-01-20 14:27:00",看来真要成龙头了，再有几毛钱创新高了，呵呵。,趋势波段投机者
"600999","2020-01-20 14:40:00",嫩韭菜我错过招商银行不会再错过招商证券600999.韭菜我19.09买入的招商证,经纶富贵得左冷禅
"600999","2020-01-20 14:54:00",看好,经纶富贵得左冷禅
"600999","2020-01-20 14:57:00",买了长期持有不动摇,经纶富贵得左冷禅
"600999","2020-01-20 14:59:00",管理层高水平值得长期持有,经纶富贵得左冷禅
"600999","2020-01-21 09:46:00",这走势一波一波好好看,浪尖上舞动的青春
"600999","2020-01-21 09:59:00",下杀，买入,长风z
"600999","2020-01-21 10:02:00",我来了,金保妖
"600999","2020-01-21 11:25:00",赶紧干掉19.73！,大霄焊s了大盘
"600999","2020-01-21 13:12:00",空中加油[赞][赞][牛][牛][牛],虹色战机
"600999","2020-01-21 13:19:00",真抗跌阿老哥。带带海通那个傻逼吧,红牛大国牛
"600999","2020-01-21 13:31:00",年后漲的你不認識,股友Rf6plG
"600999","2020-01-21 15:00:00",这是龙头！,放弃是选择
"600999","2020-01-21 15:07:00",真维斯董事长杨勋回应“破产”质疑：中国公司今年有望扭亏为盈,第一纺织网
"600999","2020-01-22 10:08:00",艹你mbd,股友BkKwuK
"600999","2020-01-22 11:01:00",艹nimbd不是龙头吗，倒数第二,股友BkKwuK
"600999","2020-01-22 11:13:00",图形好没有用，不是龙头，龙头还是中信建投走势比较稳,炒股不知解放难
"600999","2020-01-22 13:07:00",真tamd贱逼，倒数第二,股友BkKwuK
"600999","2020-01-22 13:34:00",别特莫墨迹了赶紧拉几个板也让看好你的股民过个好年吧！,股友GCBRAb
"600999","2020-01-22 13:46:00",看看中信建投,股友BkKwuK
"600999","2020-01-22 13:46:00",贱。板块都涨1个多点了,股友BkKwuK
"600999","2020-01-22 13:47:00",哪些sb还在卖,股友BkKwuK
"600999","2020-01-22 13:54:00",一句mmp当讲不当讲,股友BkKwuK
"600999","2020-01-22 13:56:00",你个gouri的卖了浙商到你这里还是套,股友BkKwuK
"600999","2020-01-22 14:07:00",真几把优秀,股友BkKwuK
"600999","2020-01-22 14:08:00",还在抛的狗逼出来，看也打不死你,股友BkKwuK
"600999","2020-01-22 14:11:00",今天涨5个点，明天涨9个点，节日过后涨停板[大笑][大笑][大笑][大笑][大笑,超级短线客集合地
"600999","2020-01-22 14:26:00",大哥就是不一样,寒江獨釣
"600999","2020-01-22 14:33:00",看看中信建投,过江鲤
"600999","2020-01-22 14:40:00",神奇股,反求诸己
"600999","2020-01-22 14:44:00",买买买买,挖掘机抢钱钱
"600999","2020-01-22 14:53:00",gouride市值太高,股友BkKwuK
"600999","2020-01-22 15:48:00",给中信建投提鞋都不配的怂货,股友GCBRAb
"600999","2020-01-22 15:52:00",招商证券盘中最高19.75元，股价创近一年新高,新高个股聚焦
"600999","2020-01-22 15:55:00",看看中信建投，看看你，怂逼啊,坐享主升浪行情
"600999","2020-01-23 09:57:00",变红能死？,根号8
"600999","2020-01-23 10:00:00",垃圾跑了,炒股不知解放难
"600999","2020-01-23 10:00:00",未来10年业绩增长最快的券商是招商银行吗？中国10年增长最快的银行是招商银行。,经纶富贵得左冷禅
"600999","2020-01-23 10:41:00",下来了，准备银子,长风z
"600999","2020-01-23 10:42:00",完蛋了，千万别砸，招商证券一砸大盘都得下来，不信看吧,散户的价值投资观
"600999","2020-01-23 10:56:00",招商证券对不起600999这个代码，这么好的999被浪费了，股价应该在30以上！,我将天天涨停板5635
"600999","2020-01-23 11:08:00",好头好尾好预兆红着过年吧！,挖掘机抢钱钱
"600999","2020-01-23 11:18:00",快跑,股市摸鱼QI6g0u
"600999","2020-01-23 11:44:00",这种跌法感觉有雷啊,股友BkKwuK
"600999","2020-01-23 12:22:00",狗艹的大盘就是你砸的,股友BkKwuK
"600999","2020-01-23 12:41:00",不管咋说，我还是看好你,反求诸己
"600999","2020-01-23 13:14:00",干的漂亮,冰原猎人
"600999","2020-01-23 13:15:00",下软蛋的草鸡,股友GCBRAb
"600999","2020-01-23 13:15:00",千股跌停,冰原猎人
"600999","2020-01-23 13:24:00",能跌停吗？,大商股份的价值
"600999","2020-01-23 13:31:00",这怎么跟股灾一样?业绩不好的跌也就算了业绩这么牛的也跌太气人了,想要很多钱
"600999","2020-01-23 13:54:00",请主力组织发力，招商是中军[微笑],投资均胜
"600999","2020-01-24 09:41:00",看空,未曾相识0311
"600999","2020-01-26 10:24:00",动员招商证券向武汉人民捐款捐物。,二火山
"600999","2020-01-28 13:38:00",好样的我没看错你们!我持的四个金融股全有捐款:601377/000783/600,巴菲特恐慌我更贪
"600999","2020-02-02 15:38:00",抗肺炎！招商证券、乐心医疗（300562）、昆仑万维（300418）集团一批上市,CMSJ
"600999","2020-02-03 09:19:00",看看券商这帮逼吧,股友BkKwuK
"600999","2020-02-03 09:44:00",手上票全部跌停[亏大了],大战大A股
"600999","2020-02-03 09:57:00",不能出门，股票交易吗？不正好吗？傻逼，恐慌性跌停什么？，管你卖还是买证券公司都赚,沪深港牛
"600999","2020-02-03 09:59:00",别恐慌！人家大股东和大机构都不怕，咋就几万元怕呢！现在就装死，什么都不用做，等着,超级短线客集合地
"600999","2020-02-03 09:59:00",那么多开板的，这比怎么没反应,gsll007
"600999","2020-02-03 10:06:00",一动不动，真,股友zLS8KT
"600999","2020-02-03 10:14:00",这气势，今天谁敢抄底,反求诸己
"600999","2020-02-03 10:31:00",矫枉过正,反求诸己
"600999","2020-02-03 10:58:00",防止美国佬金融机构进场抢筹，百年招商,盛世健保
"600999","2020-02-03 10:59:00",百年招商，毁于一旦,盛世健保
"600999","2020-02-03 11:01:00",百年招商的招牌，未来比摩根大通还牛逼,盛世健保
"600999","2020-02-03 13:03:00",玩毛线,股友QT6GCV
"600999","2020-02-03 15:50:00",这个鬼样子，明天还要跌,反求诸己
"600999","2020-02-04 09:32:00",看来情绪多少稳定了[哭]锁仓不看[哭],股友zLS8KT
"600999","2020-02-04 10:56:00",需要你坚挺护盘,股友BkKwuK
"600999","2020-02-04 12:57:00",普洛药业，与吉利德有合作,策马风啸
"600999","2020-02-04 13:12:00",狗r的要开砸了,股友BkKwuK
"600999","2020-02-04 14:21:00",港股涨3个多点了，你还压,开心良哥
"600999","2020-02-04 14:50:00",低吸好时期,随风m
"600999","2020-02-04 15:09:00",好样的,股友QT6GCV
"600999","2020-02-05 11:13:00",全民在家炒股还不是利好？ 还增加1.2亿筹码！,巴菲特恐慌我更贪
"600999","2020-02-05 11:33:00",冲冲,AgreetreA8
"600999","2020-02-05 13:16:00",垃圾还是垃圾,股友BkKwuK
"600999","2020-02-05 13:22:00",呦呵！一路向绿？,风起长歌
"600999","2020-02-05 13:36:00",早上开盘走，然后买回，套啦,秋枫飞雪
"600999","2020-02-05 13:38:00",这逼真不行,股友BkKwuK
"600999","2020-02-06 09:01:00",站不上5日线我就砸光你,股友JVzj2K
"600999","2020-02-06 10:05:00",今天倒数,反求诸己
"600999","2020-02-06 10:06:00",砸15加油,股友JVzj2K
"600999","2020-02-06 10:17:00",今天得破17,薛定谔的股价
"600999","2020-02-06 10:32:00",缺口都不补了么贱货,股友BkKwuK
"600999","2020-02-06 10:35:00",死票等拉高平仓出局,我至叻囖
"600999","2020-02-06 10:35:00",艹nmbd买了只最弱的,股友BkKwuK
"600999","2020-02-06 10:45:00",疫情使交投更加活跃，利好券商,四号ball
"600999","2020-02-06 10:47:00",证券就这一只逼是绿的，醉。。。,存在即合理
"600999","2020-02-06 10:58:00",还几把弱于大盘,股友BkKwuK
"600999","2020-02-06 10:58:00",这狗的跟着大盘走,股友BkKwuK
"600999","2020-02-06 11:01:00",不要脸,专业收废品
"600999","2020-02-06 11:14:00",怪事，以前守广发广发垫底，现在守招商招商倒2，我这点筹码这么沉？[哭],股友zLS8KT
"600999","2020-02-06 11:14:00",百年招商，可堪摩根,盛世健保
"600999","2020-02-06 11:21:00",百年招商都不陪给中信建投提鞋的，呸！,股友GCBRAb
"600999","2020-02-06 11:42:00",买了这个垃圾自认倒霉,股友JVzj2K
"600999","2020-02-06 13:10:00",天呐我们都在家炒股你快涨停啊,我身骑白马走三关
"600999","2020-02-06 13:20:00",现在不是买券商的时机？,股友OXvetg
"600999","2020-02-06 13:26:00",这次回本后老子以后做票再不做券商,赚点米米
"600999","2020-02-06 13:48:00",涨不过板块，就甘心垫底吧,反求诸己
"600999","2020-02-06 13:48:00",耐心持股，医药炒完，券商不会缺席！,南海老师99
"600999","2020-02-06 14:30:00","17.6全部卖光",股友JVzj2K
"600999","2020-02-06 14:53:00",这几天天天一万多亿成交,n130213199787868
"600999","2020-02-06 15:36:00",今年目标价30,放弃是选择
"600999","2020-02-07 09:02:00",今天还要砸到17,股友JVzj2K
"600999","2020-02-07 09:36:00",这个怂货,招财成金的李秋水
"600999","2020-02-07 09:49:00",时机到了,股友Q2LZcS
"600999","2020-02-07 10:07:00",好垃圾,书剑飘零旧酒徒
"600999","2020-02-07 10:08:00",不知道小散为什么要砸，涨起来你不后悔吗,股市爱好者小万
"600999","2020-02-07 10:11:00",证券他妈的什么玩意,招财成金的李秋水
"600999","2020-02-07 10:17:00",真丢券商的面,股市爱好者小万
"600999","2020-02-07 10:21:00",两字操盘手垃圾,股友JVzj2K
"600999","2020-02-07 10:22:00",兄弟这不是龟兔赛跑吧？这是刻舟求剑啊？！,B1b1
"600999","2020-02-07 10:23:00",招商？批商,去了吧
"600999","2020-02-07 10:27:00",涨我就砸你,股友JVzj2K
"600999","2020-02-07 10:34:00",自选股华创，招商，中信，广发，四个哥们正好全部垫底，[傲]我是不是不适合炒股[傲,股友zLS8KT
"600999","2020-02-07 10:38:00",怎么没完没了的出,尘封王座
"600999","2020-02-07 10:38:00",我[傲][兴奋][成交],佩琪炒股养家
"600999","2020-02-07 10:41:00",大资金的盘子真牛逼，一点都不着急，怪不得散户都不想拿大盘股,散户的价值投资观
"600999","2020-02-07 11:03:00",百年多病独登台,盛世健保
"600999","2020-02-07 11:23:00",我去你妈的,招财成金的李秋水
"600999","2020-02-07 11:24:00",为什么有资金一直在出,尘封王座
"600999","2020-02-07 11:28:00",招商就他妈一只垃圾，你赶快退市吧,yhf看涨
"600999","2020-02-07 12:12:00",北上资金流出只能卖,股友JVzj2K
"600999","2020-02-07 13:43:00",早上没卖你真是后悔死了,招财成金的李秋水
"600999","2020-02-07 13:55:00",再往上涨点出货，还是南京证券给力！,股友OXvetg
"600999","2020-02-07 14:16:00",太弱了,股友5454
"600999","2020-02-07 14:25:00",挺好个股，玩成这样了，哎,反求诸己
"600999","2020-02-07 14:53:00",你装有种17.65,我身骑白马走三关
"600999","2020-02-10 09:04:00",还要回到17,股友JVzj2K
"600999","2020-02-10 09:35:00",都在家炒股你还不想长,我身骑白马走三关
"600999","2020-02-10 09:55:00",下来吧,股友JVzj2K
"600999","2020-02-10 10:45:00",大盘和个股延续节前牛势!!!!!!!!!!!!,巴菲特恐慌我更贪
"600999","2020-02-10 11:07:00","17.70一线是短线压力",西域琴清
"600999","2020-02-10 11:18:00",拉稀了,股友JVzj2K
"600999","2020-02-10 11:22:00",《走了走了 抄底华谊兄弟去》,月巴克
"600999","2020-02-11 09:44:00",快卖,股友JVzj2K
"600999","2020-02-11 09:44:00",重回之前高点是必然的,期股双当
"600999","2020-02-11 09:53:00",等着跌下来，我进,一路向前bright
"600999","2020-02-11 10:38:00","17.75买500手呵呵",股友JVzj2K
"600999","2020-02-11 10:48:00",我就问你今天敢不敢启动？你要敢涨，整个板块都会跟,散户的价值投资观
"600999","2020-02-11 11:00:00",别的股票涨了很多了，跌一点儿也正常，你个兔崽子没怎么涨呢，你他么的跌个屁,n962213289533570
"600999","2020-02-11 11:25:00",一马不行百马忧，券商板块都冲高回落，我们还是走了好，,旺旺2020旺旺
"600999","2020-02-11 11:25:00",做龙头呗,挖掘机抢钱钱
"600999","2020-02-11 11:30:00",我草17.75套了,股友JVzj2K
"600999","2020-02-11 11:58:00",清仓了,未曾相识0311
"600999","2020-02-11 13:09:00",清仓，狗逼呀,terry814
"600999","2020-02-11 13:23:00",早上17.89买了，下午就跌下来了吗？？？,一路向前bright
"600999","2020-02-11 13:41:00",今天没戏了,华华2000
"600999","2020-02-11 13:43:00",你们都走了就涨了[胜利],股友y6iMkU
"600999","2020-02-11 13:49:00",会不会我一清仓他就涨停啊,股友REG3K3
"600999","2020-02-11 13:55:00",给我涨起来,股友JVzj2K
"600999","2020-02-11 14:10:00",杀，杀，杀,长风z
"600999","2020-02-11 14:38:00",回调开始,随风m
"600999","2020-02-11 15:12:00",能不能开来根大阴线让我建仓,道观清
